Scenario_ID,Model,Scenario,Region,Variable,Unit,Year,Value
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,5.9271831322
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.047204
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.62500859070999
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7764702786
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.797438197
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.0881687
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,34.0074141668
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,7.58660418
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,World,Secondary Energy|Electricity,EJ/yr,2010,75.50153375449
GCAM 5.3 - R_MAC_50_n8,GCAM 5.3,R_MAC_50_n8,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,16.5475869586
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.577237504
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.76183726919531
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,4.863537728
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.968835516
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.573775272
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7062599668894
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.820384192
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.09656248539257
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,37.879537664
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,9.132168924
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Secondary Energy|Electricity,EJ/yr,2010,77.71447296
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,17.66566564
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.577377792
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.762240404375
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,4.859677952
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.962272308
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.573775272
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7062599668894
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.820402944
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.09656102154296
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,37.87837664
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,9.131257868
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity,EJ/yr,2010,77.709606912
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,17.65859236
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.5791872
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.76349859839843
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,4.863569472
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.96886742
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.573775272
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7062599668894
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.820395936
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.09658442126171
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,37.878865472
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,9.130724084
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,World,Secondary Energy|Electricity,EJ/yr,2010,77.715800064
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,17.665935464
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.577414784
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.76202792800781
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,4.863470848
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.968770516
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.573775272
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7062599668894
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.820406816
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.09656473513281
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,37.884871232
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,9.139107728
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,World,Secondary Energy|Electricity,EJ/yr,2010,77.719953408
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,17.672732264
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.577377792
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.762240404375
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,4.859677952
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.962272308
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.573775272
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7062599668894
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.820402944
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.09656102154296
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,37.87837664
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,9.131257868
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity,EJ/yr,2010,77.709606912
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,17.65859236
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.578475648
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.76384268910156
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,4.86346752
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.968767388
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.573775272
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7062599668894
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.820424
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.09657906115234
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,37.880924288
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,9.134598648
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,World,Secondary Energy|Electricity,EJ/yr,2010,77.717069824
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,17.670049384
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.577377792
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.762240404375
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,4.859677952
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.962272308
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.573775272
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.7062599668894
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.820402944
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.09656102154296
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,37.87837664
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,9.131257868
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,World,Secondary Energy|Electricity,EJ/yr,2010,77.709606912
IMAGE 3.2 - SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,17.65859236
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.1741
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.62183
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,5.07776
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.0717
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.68139
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.83697
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.7512
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.27328
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,35.76397
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,7.4805
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,World,Secondary Energy|Electricity,EJ/yr,2010,75.449
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,16.393
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.174071127302
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.65751556965277
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,5.0580249199818
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.03857827927773
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.6813944190082
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.83404629746705
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.75118394984558
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.30535329181671
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,35.7677416656433
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,7.40774297710312
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,World,Secondary Energy|Electricity,EJ/yr,2010,75.4324160817809
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,16.2432364153174
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.174071127302
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.65751556965277
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,5.0580249199818
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.03857827927773
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.6813944190082
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.83404629746705
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.75118394984558
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.30535329181671
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,35.7677416656433
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,7.40774297710312
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity,EJ/yr,2010,75.4324160817809
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,16.2432364153174
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,2010,24.18579
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.53254
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,2010,5.07766999999999
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.07017
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,2010,5.68138
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2010,2.84096
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Latin America,Secondary Energy|Electricity,EJ/yr,2010,4.75118
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2010,1.27386
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,OECD Countries,Secondary Energy|Electricity,EJ/yr,2010,35.76367
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,2010,7.48666999999999
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,World,Secondary Energy|Electricity,EJ/yr,2010,75.461
MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,World,Secondary Energy|Electricity|Gas,EJ/yr,2010,16.326
MESSAGEix-GLOBIOM 1.0 - CD-LINKS_NPi2020_400,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,Asia,Secondary Energy|Electricity,EJ/yr,2010,27.9277686419285
