Year,Scenario_ID,Model,Scenario,Region,Variable,Unit,Value,Variable_clean,Variable_standardized
2070,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.038995911630212,secondary energy|electricity|gas,Electricity|Gas
2075,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.019497955815106,secondary energy|electricity|gas,Electricity|Gas
2080,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2085,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2090,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2095,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2100,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2010,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,1.30535329181671,secondary energy|electricity|gas,Electricity|Gas
2015,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,1.961844445007145,secondary energy|electricity|gas,Electricity|Gas
2020,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,2.61833559819758,secondary energy|electricity|gas,Electricity|Gas
2025,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,1.3556458665970006,secondary energy|electricity|gas,Electricity|Gas
2030,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.092956134996421,secondary energy|electricity|gas,Electricity|Gas
2035,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.120873892484192,secondary energy|electricity|gas,Electricity|Gas
2040,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.148791649971963,secondary energy|electricity|gas,Electricity|Gas
2045,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.127359874099934,secondary energy|electricity|gas,Electricity|Gas
2050,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.105928098227905,secondary energy|electricity|gas,Electricity|Gas
2055,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.059428041401932,secondary energy|electricity|gas,Electricity|Gas
2060,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.012927984575959,secondary energy|electricity|gas,Electricity|Gas
2065,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.008615365024031499,secondary energy|electricity|gas,Electricity|Gas
2070,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.004302745472104,secondary energy|electricity|gas,Electricity|Gas
2075,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.002151372736052,secondary energy|electricity|gas,Electricity|Gas
2080,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2085,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2090,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2095,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2100,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2010,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2.83404629746705,secondary energy|electricity|gas,Electricity|Gas
2015,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,4.05385507798394,secondary energy|electricity|gas,Electricity|Gas
2020,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,5.27366385850083,secondary energy|electricity|gas,Electricity|Gas
2025,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,4.83155786001111,secondary energy|electricity|gas,Electricity|Gas
2030,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,4.38945186152139,secondary energy|electricity|gas,Electricity|Gas
2035,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2.6867608476213527,secondary energy|electricity|gas,Electricity|Gas
2040,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.984069833721315,secondary energy|electricity|gas,Electricity|Gas
2045,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,1.4068937487227124,secondary energy|electricity|gas,Electricity|Gas
2050,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,1.82971766372411,secondary energy|electricity|gas,Electricity|Gas
2055,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,1.93212874865115,secondary energy|electricity|gas,Electricity|Gas
2060,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2.03453983357819,secondary energy|electricity|gas,Electricity|Gas
2065,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,1.720997504049505,secondary energy|electricity|gas,Electricity|Gas
2070,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,1.40745517452082,secondary energy|electricity|gas,Electricity|Gas
2075,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.70372758726041,secondary energy|electricity|gas,Electricity|Gas
2080,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2085,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2090,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2095,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2100,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2010,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,7.40774297710312,secondary energy|electricity|gas,Electricity|Gas
2015,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,7.401052435677495,secondary energy|electricity|gas,Electricity|Gas
2020,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,7.39436189425187,secondary energy|electricity|gas,Electricity|Gas
2025,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,9.014963386291084,secondary energy|electricity|gas,Electricity|Gas
2030,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,10.6355648783303,secondary energy|electricity|gas,Electricity|Gas
2035,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,6.2870113185835494,secondary energy|electricity|gas,Electricity|Gas
2040,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,1.9384577588368,secondary energy|electricity|gas,Electricity|Gas
2045,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,1.853763417685275,secondary energy|electricity|gas,Electricity|Gas
2050,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,1.76906907653375,secondary energy|electricity|gas,Electricity|Gas
2055,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,1.4029622388184149,secondary energy|electricity|gas,Electricity|Gas
2060,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,1.03685540110308,secondary energy|electricity|gas,Electricity|Gas
2065,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.6458425011955464,secondary energy|electricity|gas,Electricity|Gas
2070,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.254829601288013,secondary energy|electricity|gas,Electricity|Gas
2075,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.12766411403205172,secondary energy|electricity|gas,Electricity|Gas
2080,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.0004986267760904,secondary energy|electricity|gas,Electricity|Gas
2085,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.0003565634444846,secondary energy|electricity|gas,Electricity|Gas
2090,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.0002145001128788,secondary energy|electricity|gas,Electricity|Gas
2095,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.00013853288959880615,secondary energy|electricity|gas,Electricity|Gas
2100,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,6.25656663188123e-05,secondary energy|electricity|gas,Electricity|Gas
2010,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.03857827927773,secondary energy|electricity|gas,Electricity|Gas
2015,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.935519290908775,secondary energy|electricity|gas,Electricity|Gas
2020,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,3.83246030253982,secondary energy|electricity|gas,Electricity|Gas
2025,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.1867550770987334,secondary energy|electricity|gas,Electricity|Gas
2030,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.541049851657647,secondary energy|electricity|gas,Electricity|Gas
2035,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.38306915934000996,secondary energy|electricity|gas,Electricity|Gas
2040,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.225088467022373,secondary energy|electricity|gas,Electricity|Gas
2045,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.11257921431826734,secondary energy|electricity|gas,Electricity|Gas
2050,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,6.99616141616794e-05,secondary energy|electricity|gas,Electricity|Gas
2055,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,3.5015947996111e-05,secondary energy|electricity|gas,Electricity|Gas
2060,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,7.02818305426032e-08,secondary energy|electricity|gas,Electricity|Gas
2065,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,3.51409152713016e-08,secondary energy|electricity|gas,Electricity|Gas
2070,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2075,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2080,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2085,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2090,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2095,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2100,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,Russia and Central Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2010,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,16.2432364153174,secondary energy|electricity|gas,Electricity|Gas
2015,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,20.444736621592703,secondary energy|electricity|gas,Electricity|Gas
2020,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,24.646236827868,secondary energy|electricity|gas,Electricity|Gas
2025,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,23.4418528470856,secondary energy|electricity|gas,Electricity|Gas
2030,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,22.2374688663032,secondary energy|electricity|gas,Electricity|Gas
2035,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,13.50174946881545,secondary energy|electricity|gas,Electricity|Gas
2040,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,4.7660300713277,secondary energy|electricity|gas,Electricity|Gas
2045,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,4.724692472703465,secondary energy|electricity|gas,Electricity|Gas
2050,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,4.68335487407923,secondary energy|electricity|gas,Electricity|Gas
2055,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,4.02071605687733,secondary energy|electricity|gas,Electricity|Gas
2060,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,3.35807723967543,secondary energy|electricity|gas,Electricity|Gas
2065,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,2.531830336293285,secondary energy|electricity|gas,Electricity|Gas
2070,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,1.70558343291114,secondary energy|electricity|gas,Electricity|Gas
2075,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,0.8530410298436152,secondary energy|electricity|gas,Electricity|Gas
2080,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,0.0004986267760904,secondary energy|electricity|gas,Electricity|Gas
2085,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,0.0003565634444846,secondary energy|electricity|gas,Electricity|Gas
2090,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,0.0002145001128788,secondary energy|electricity|gas,Electricity|Gas
2095,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,0.00013853288959880615,secondary energy|electricity|gas,Electricity|Gas
2100,MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Secondary Energy|Electricity|Gas,EJ/yr,6.25656663188123e-05,secondary energy|electricity|gas,Electricity|Gas
2010,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,24.18579,secondary energy|electricity,Electricity
2015,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,30.148215,secondary energy|electricity,Electricity
2020,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,36.11064,secondary energy|electricity,Electricity
2025,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,41.76416,secondary energy|electricity,Electricity
2030,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,47.41768,secondary energy|electricity,Electricity
2035,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,58.963094999999996,secondary energy|electricity,Electricity
2040,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,70.50851,secondary energy|electricity,Electricity
2045,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,84.388305,secondary energy|electricity,Electricity
2050,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,98.2681,secondary energy|electricity,Electricity
2055,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,112.02567,secondary energy|electricity,Electricity
2060,MESSAGE-GLOBIOM 1.0 - SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,Asia,Secondary Energy|Electricity,EJ/yr,125.78324,secondary energy|electricity,Electricity
